ㄱ,0xA4A1   ,ㄲ,0xA4A2   ,ㄳ,0xA4A3   ,ㄴ,0xA4A4   ,ㄵ,0xA4A5
읨,0xC0CA   ,읫,0xC0CB   ,이,0xC0CC   ,익,0xC0CD   ,인,0xC0CE
일,0xC0CF   ,읽,0xC0D0   ,읾,0xC0D1   ,잃,0xC0D2   ,임,0xC0D3
입,0xC0D4   ,잇,0xC0D5   ,있,0xC0D6   ,잉,0xC0D7   ,잊,0xC0D8
잎,0xC0D9   ,자,0xC0DA   ,작,0xC0DB   ,잔,0xC0DC   ,잖,0xC0DD
잗,0xC0DE   ,잘,0xC0DF   ,잚,0xC0E0   ,잠,0xC0E1   ,잡,0xC0E2
잣,0xC0E3   ,잤,0xC0E4   ,장,0xC0E5   ,잦,0xC0E6   ,재,0xC0E7
잭,0xC0E8   ,잰,0xC0E9   ,잴,0xC0EA   ,잼,0xC0EB   ,잽,0xC0EC
잿,0xC0ED   ,쟀,0xC0EE   ,쟁,0xC0EF   ,쟈,0xC0F0   ,쟉,0xC0F1
쟌,0xC0F2   ,쟎,0xC0F3   ,쟐,0xC0F4   ,쟘,0xC0F5   ,쟝,0xC0F6
쟤,0xC0F7   ,쟨,0xC0F8   ,쟬,0xC0F9   ,저,0xC0FA   ,적,0xC0FB
전,0xC0FC   ,절,0xC0FD   ,젊,0xC0FE   ,점,0xC1A1   ,접,0xC1A2
젓,0xC1A3   ,정,0xC1A4   ,젖,0xC1A5   ,제,0xC1A6   ,젝,0xC1A7
젠,0xC1A8   ,젤,0xC1A9   ,젬,0xC1AA   ,젭,0xC1AB   ,젯,0xC1AC
젱,0xC1AD   ,져,0xC1AE   ,젼,0xC1AF   ,졀,0xC1B0   ,졈,0xC1B1
졉,0xC1B2   ,졌,0xC1B3   ,졍,0xC1B4   ,졔,0xC1B5   ,조,0xC1B6
족,0xC1B7   ,존,0xC1B8   ,졸,0xC1B9   ,졺,0xC1BA   ,좀,0xC1BB
좁,0xC1BC   ,좃,0xC1BD   ,종,0xC1BE   ,좆,0xC1BF   ,좇,0xC1C0
좋,0xC1C1   ,좌,0xC1C2   ,좍,0xC1C3   ,좔,0xC1C4   ,좝,0xC1C5
좟,0xC1C6   ,좡,0xC1C7   ,좨,0xC1C8   ,좼,0xC1C9   ,좽,0xC1CA
죄,0xC1CB   ,죈,0xC1CC   ,죌,0xC1CD   ,죔,0xC1CE   ,죕,0xC1CF
죗,0xC1D0   ,죙,0xC1D1   ,죠,0xC1D2   ,죡,0xC1D3   ,죤,0xC1D4
죵,0xC1D5   ,주,0xC1D6   ,죽,0xC1D7   ,준,0xC1D8   ,줄,0xC1D9
줅,0xC1DA   ,줆,0xC1DB   ,줌,0xC1DC   ,줍,0xC1DD   ,줏,0xC1DE
중,0xC1DF   ,줘,0xC1E0   ,줬,0xC1E1   ,줴,0xC1E2   ,쥐,0xC1E3
쥑,0xC1E4   ,쥔,0xC1E5   ,쥘,0xC1E6   ,쥠,0xC1E7   ,쥡,0xC1E8
쥣,0xC1E9   ,쥬,0xC1EA   ,쥰,0xC1EB   ,쥴,0xC1EC   ,쥼,0xC1ED
즈,0xC1EE   ,즉,0xC1EF   ,즌,0xC1F0   ,즐,0xC1F1   ,즘,0xC1F2
즙,0xC1F3   ,즛,0xC1F4   ,증,0xC1F5   ,지,0xC1F6   ,직,0xC1F7
진,0xC1F8   ,짇,0xC1F9   ,질,0xC1FA   ,짊,0xC1FB   ,짐,0xC1FC
집,0xC1FD   ,짓,0xC1FE   ,징,0xC2A1   ,짖,0xC2A2   ,짙,0xC2A3
짚,0xC2A4   ,짜,0xC2A5   ,짝,0xC2A6   ,짠,0xC2A7   ,짢,0xC2A8
짤,0xC2A9   ,짧,0xC2AA   ,짬,0xC2AB   ,짭,0xC2AC   ,짯,0xC2AD
짰,0xC2AE   ,짱,0xC2AF   ,째,0xC2B0   ,짹,0xC2B1   ,짼,0xC2B2
쨀,0xC2B3   ,쨈,0xC2B4   ,쨉,0xC2B5   ,쨋,0xC2B6   ,쨌,0xC2B7
쨍,0xC2B8   ,쨔,0xC2B9   ,쨘,0xC2BA   ,쨩,0xC2BB   ,쩌,0xC2BC
쩍,0xC2BD   ,쩐,0xC2BE   ,쩔,0xC2BF   ,쩜,0xC2C0   ,쩝,0xC2C1
쩟,0xC2C2   ,쩠,0xC2C3   ,쩡,0xC2C4   ,쩨,0xC2C5   ,쩽,0xC2C6
쪄,0xC2C7   ,쪘,0xC2C8   ,쪼,0xC2C9   ,쪽,0xC2CA   ,쫀,0xC2CB
쫄,0xC2CC   ,쫌,0xC2CD   ,쫍,0xC2CE   ,쫏,0xC2CF   ,쫑,0xC2D0
쫓,0xC2D1   ,쫘,0xC2D2   ,쫙,0xC2D3   ,쫠,0xC2D4   ,쫬,0xC2D5
쫴,0xC2D6   ,쬈,0xC2D7   ,쬐,0xC2D8   ,쬔,0xC2D9   ,쬘,0xC2DA
쬠,0xC2DB   ,쬡,0xC2DC   ,쭁,0xC2DD   ,쭈,0xC2DE   ,쭉,0xC2DF
쭌,0xC2E0   ,쭐,0xC2E1   ,쭘,0xC2E2   ,쭙,0xC2E3   ,쭝,0xC2E4
쭤,0xC2E5   ,쭸,0xC2E6   ,쭹,0xC2E7   ,쮜,0xC2E8   ,쮸,0xC2E9
쯔,0xC2EA   ,쯤,0xC2EB   ,쯧,0xC2EC   ,쯩,0xC2ED   ,찌,0xC2EE
찍,0xC2EF   ,찐,0xC2F0   ,찔,0xC2F1   ,찜,0xC2F2   ,찝,0xC2F3
찡,0xC2F4   ,찢,0xC2F5   ,찧,0xC2F6   ,차,0xC2F7   ,착,0xC2F8
찬,0xC2F9   ,찮,0xC2FA   ,찰,0xC2FB   ,참,0xC2FC   ,찹,0xC2FD
찻,0xC2FE   ,찼,0xC3A1   ,창,0xC3A2   ,찾,0xC3A3   ,채,0xC3A4
책,0xC3A5   ,챈,0xC3A6   ,챌,0xC3A7   ,챔,0xC3A8   ,챕,0xC3A9
챗,0xC3AA   ,챘,0xC3AB   ,챙,0xC3AC   ,챠,0xC3AD   ,챤,0xC3AE
챦,0xC3AF   ,챨,0xC3B0   ,챰,0xC3B1   ,챵,0xC3B2   ,처,0xC3B3
척,0xC3B4   ,천,0xC3B5   ,철,0xC3B6   ,첨,0xC3B7   ,첩,0xC3B8
첫,0xC3B9   ,첬,0xC3BA   ,청,0xC3BB   ,체,0xC3BC   ,첵,0xC3BD
첸,0xC3BE   ,첼,0xC3BF   ,쳄,0xC3C0   ,쳅,0xC3C1   ,쳇,0xC3C2
쳉,0xC3C3   ,쳐,0xC3C4   ,쳔,0xC3C5   ,쳤,0xC3C6   ,쳬,0xC3C7
쳰,0xC3C8   ,촁,0xC3C9   ,초,0xC3CA   ,촉,0xC3CB   ,촌,0xC3CC
촐,0xC3CD   ,촘,0xC3CE   ,촙,0xC3CF   ,촛,0xC3D0   ,총,0xC3D1
촤,0xC3D2   ,촨,0xC3D3   ,촬,0xC3D4   ,촹,0xC3D5   ,최,0xC3D6
쵠,0xC3D7   ,쵤,0xC3D8   ,쵬,0xC3D9   ,쵭,0xC3DA   ,쵯,0xC3DB
쵱,0xC3DC   ,쵸,0xC3DD   ,춈,0xC3DE   ,추,0xC3DF   ,축,0xC3E0
춘,0xC3E1   ,출,0xC3E2   ,춤,0xC3E3   ,춥,0xC3E4   ,춧,0xC3E5
충,0xC3E6   ,춰,0xC3E7   ,췄,0xC3E8   ,췌,0xC3E9   ,췐,0xC3EA
취,0xC3EB   ,췬,0xC3EC   ,췰,0xC3ED   ,췸,0xC3EE   ,췹,0xC3EF
췻,0xC3F0   ,췽,0xC3F1   ,츄,0xC3F2   ,츈,0xC3F3   ,츌,0xC3F4
츔,0xC3F5   ,츙,0xC3F6   ,츠,0xC3F7   ,측,0xC3F8   ,츤,0xC3F9
츨,0xC3FA   ,츰,0xC3FB   ,츱,0xC3FC   ,츳,0xC3FD   ,층,0xC3FE
치,0xC4A1   ,칙,0xC4A2   ,친,0xC4A3   ,칟,0xC4A4   ,칠,0xC4A5
칡,0xC4A6   ,침,0xC4A7   ,칩,0xC4A8   ,칫,0xC4A9   ,칭,0xC4AA
카,0xC4AB   ,칵,0xC4AC   ,칸,0xC4AD   ,칼,0xC4AE   ,캄,0xC4AF
캅,0xC4B0   ,캇,0xC4B1   ,캉,0xC4B2   ,캐,0xC4B3   ,캑,0xC4B4
캔,0xC4B5   ,캘,0xC4B6   ,캠,0xC4B7   ,캡,0xC4B8   ,캣,0xC4B9
캤,0xC4BA   ,캥,0xC4BB   ,캬,0xC4BC   ,캭,0xC4BD   ,컁,0xC4BE
커,0xC4BF   ,컥,0xC4C0   ,컨,0xC4C1   ,컫,0xC4C2   ,컬,0xC4C3
컴,0xC4C4   ,컵,0xC4C5   ,컷,0xC4C6   ,컸,0xC4C7   ,컹,0xC4C8
케,0xC4C9   ,켁,0xC4CA   ,켄,0xC4CB   ,켈,0xC4CC   ,켐,0xC4CD
켑,0xC4CE   ,켓,0xC4CF   ,켕,0xC4D0   ,켜,0xC4D1   ,켠,0xC4D2
켤,0xC4D3   ,켬,0xC4D4   ,켭,0xC4D5   ,켯,0xC4D6   ,켰,0xC4D7
켱,0xC4D8   ,켸,0xC4D9   ,코,0xC4DA   ,콕,0xC4DB   ,콘,0xC4DC
콜,0xC4DD   ,콤,0xC4DE   ,콥,0xC4DF   ,콧,0xC4E0   ,콩,0xC4E1
콰,0xC4E2   ,콱,0xC4E3   ,콴,0xC4E4   ,콸,0xC4E5   ,쾀,0xC4E6
쾅,0xC4E7   ,쾌,0xC4E8   ,쾡,0xC4E9   ,쾨,0xC4EA   ,쾰,0xC4EB
쿄,0xC4EC   ,쿠,0xC4ED   ,쿡,0xC4EE   ,쿤,0xC4EF   ,쿨,0xC4F0
쿰,0xC4F1   ,쿱,0xC4F2   ,쿳,0xC4F3   ,쿵,0xC4F4   ,쿼,0xC4F5
퀀,0xC4F6   ,퀄,0xC4F7   ,퀑,0xC4F8   ,퀘,0xC4F9   ,퀭,0xC4FA
퀴,0xC4FB   ,퀵,0xC4FC   ,퀸,0xC4FD   ,퀼,0xC4FE   ,큄,0xC5A1
큅,0xC5A2   ,큇,0xC5A3   ,큉,0xC5A4   ,큐,0xC5A5   ,큔,0xC5A6
큘,0xC5A7   ,큠,0xC5A8   ,크,0xC5A9   ,큭,0xC5AA   ,큰,0xC5AB
클,0xC5AC   ,큼,0xC5AD   ,큽,0xC5AE   ,킁,0xC5AF   ,키,0xC5B0
킥,0xC5B1   ,킨,0xC5B2   ,킬,0xC5B3   ,킴,0xC5B4   ,킵,0xC5B5
킷,0xC5B6   ,킹,0xC5B7   ,타,0xC5B8   ,탁,0xC5B9   ,탄,0xC5BA
탈,0xC5BB   ,탉,0xC5BC   ,탐,0xC5BD   ,탑,0xC5BE   ,탓,0xC5BF
탔,0xC5C0   ,탕,0xC5C1   ,태,0xC5C2   ,택,0xC5C3   ,탠,0xC5C4
탤,0xC5C5   ,탬,0xC5C6   ,탭,0xC5C7   ,탯,0xC5C8   ,탰,0xC5C9
탱,0xC5CA   ,탸,0xC5CB   ,턍,0xC5CC   ,터,0xC5CD   ,턱,0xC5CE
턴,0xC5CF   ,털,0xC5D0   ,턺,0xC5D1   ,텀,0xC5D2   ,텁,0xC5D3
텃,0xC5D4   ,텄,0xC5D5   ,텅,0xC5D6   ,테,0xC5D7   ,텍,0xC5D8
텐,0xC5D9   ,텔,0xC5DA   ,템,0xC5DB   ,텝,0xC5DC   ,텟,0xC5DD
텡,0xC5DE   ,텨,0xC5DF   ,텬,0xC5E0   ,텼,0xC5E1   ,톄,0xC5E2
톈,0xC5E3   ,토,0xC5E4   ,톡,0xC5E5   ,톤,0xC5E6   ,톨,0xC5E7
톰,0xC5E8   ,톱,0xC5E9   ,톳,0xC5EA   ,통,0xC5EB   ,톺,0xC5EC
톼,0xC5ED   ,퇀,0xC5EE   ,퇘,0xC5EF   ,퇴,0xC5F0   ,퇸,0xC5F1
툇,0xC5F2   ,툉,0xC5F3   ,툐,0xC5F4   ,투,0xC5F5   ,툭,0xC5F6
툰,0xC5F7   ,툴,0xC5F8   ,툼,0xC5F9   ,툽,0xC5FA   ,툿,0xC5FB
퉁,0xC5FC   ,퉈,0xC5FD   ,퉜,0xC5FE   ,퉤,0xC6A1   ,튀,0xC6A2
튁,0xC6A3   ,튄,0xC6A4   ,튈,0xC6A5   ,튐,0xC6A6   ,튑,0xC6A7
튕,0xC6A8   ,튜,0xC6A9   ,튠,0xC6AA   ,튤,0xC6AB   ,튬,0xC6AC
튱,0xC6AD   ,트,0xC6AE   ,특,0xC6AF   ,튼,0xC6B0   ,튿,0xC6B1
틀,0xC6B2   ,틂,0xC6B3   ,틈,0xC6B4   ,틉,0xC6B5   ,틋,0xC6B6
틔,0xC6B7   ,틘,0xC6B8   ,틜,0xC6B9   ,틤,0xC6BA   ,틥,0xC6BB
티,0xC6BC   ,틱,0xC6BD   ,틴,0xC6BE   ,틸,0xC6BF   ,팀,0xC6C0
팁,0xC6C1   ,팃,0xC6C2   ,팅,0xC6C3   ,파,0xC6C4   ,팍,0xC6C5
팎,0xC6C6   ,판,0xC6C7   ,팔,0xC6C8   ,팖,0xC6C9   ,팜,0xC6CA
팝,0xC6CB   ,팟,0xC6CC   ,팠,0xC6CD   ,팡,0xC6CE   ,팥,0xC6CF
패,0xC6D0   ,팩,0xC6D1   ,팬,0xC6D2   ,팰,0xC6D3   ,팸,0xC6D4
팹,0xC6D5   ,팻,0xC6D6   ,팼,0xC6D7   ,팽,0xC6D8   ,퍄,0xC6D9
퍅,0xC6DA   ,퍼,0xC6DB   ,퍽,0xC6DC   ,펀,0xC6DD   ,펄,0xC6DE
펌,0xC6DF   ,펍,0xC6E0   ,펏,0xC6E1   ,펐,0xC6E2   ,펑,0xC6E3
페,0xC6E4   ,펙,0xC6E5   ,펜,0xC6E6   ,펠,0xC6E7   ,펨,0xC6E8
펩,0xC6E9   ,펫,0xC6EA   ,펭,0xC6EB   ,펴,0xC6EC   ,편,0xC6ED
펼,0xC6EE   ,폄,0xC6EF   ,폅,0xC6F0   ,폈,0xC6F1   ,평,0xC6F2
폐,0xC6F3   ,폘,0xC6F4   ,폡,0xC6F5   ,폣,0xC6F6   ,포,0xC6F7
폭,0xC6F8   ,폰,0xC6F9   ,폴,0xC6FA   ,폼,0xC6FB   ,폽,0xC6FC
폿,0xC6FD   ,퐁,0xC6FE   ,퐈,0xC7A1   ,퐝,0xC7A2   ,푀,0xC7A3
푄,0xC7A4   ,표,0xC7A5   ,푠,0xC7A6   ,푤,0xC7A7   ,푭,0xC7A8
푯,0xC7A9   ,푸,0xC7AA   ,푹,0xC7AB   ,푼,0xC7AC   ,푿,0xC7AD
풀,0xC7AE   ,풂,0xC7AF   ,품,0xC7B0   ,풉,0xC7B1   ,풋,0xC7B2
풍,0xC7B3   ,풔,0xC7B4   ,풩,0xC7B5   ,퓌,0xC7B6   ,퓐,0xC7B7
퓔,0xC7B8   ,퓜,0xC7B9   ,퓟,0xC7BA   ,퓨,0xC7BB   ,퓬,0xC7BC
퓰,0xC7BD   ,퓸,0xC7BE   ,퓻,0xC7BF   ,퓽,0xC7C0   ,프,0xC7C1
픈,0xC7C2   ,플,0xC7C3   ,픔,0xC7C4   ,픕,0xC7C5   ,픗,0xC7C6
피,0xC7C7   ,픽,0xC7C8   ,핀,0xC7C9   ,필,0xC7CA   ,핌,0xC7CB
핍,0xC7CC   ,핏,0xC7CD   ,핑,0xC7CE   ,하,0xC7CF   ,학,0xC7D0
한,0xC7D1   ,할,0xC7D2   ,핥,0xC7D3   ,함,0xC7D4   ,합,0xC7D5
핫,0xC7D6   ,항,0xC7D7   ,해,0xC7D8   ,핵,0xC7D9   ,핸,0xC7DA
핼,0xC7DB   ,햄,0xC7DC   ,햅,0xC7DD   ,햇,0xC7DE   ,했,0xC7DF
행,0xC7E0   ,햐,0xC7E1   ,향,0xC7E2   ,허,0xC7E3   ,헉,0xC7E4
헌,0xC7E5   ,헐,0xC7E6   ,헒,0xC7E7   ,험,0xC7E8   ,헙,0xC7E9
헛,0xC7EA   ,헝,0xC7EB   ,헤,0xC7EC   ,헥,0xC7ED   ,헨,0xC7EE
헬,0xC7EF   ,헴,0xC7F0   ,헵,0xC7F1   ,헷,0xC7F2   ,헹,0xC7F3
혀,0xC7F4   ,혁,0xC7F5   ,현,0xC7F6   ,혈,0xC7F7   ,혐,0xC7F8
협,0xC7F9   ,혓,0xC7FA   ,혔,0xC7FB   ,형,0xC7FC   ,혜,0xC7FD
혠,0xC7FE   ,혤,0xC8A1   ,혭,0xC8A2   ,호,0xC8A3   ,혹,0xC8A4
혼,0xC8A5   ,홀,0xC8A6   ,홅,0xC8A7   ,홈,0xC8A8   ,홉,0xC8A9
홋,0xC8AA   ,홍,0xC8AB   ,홑,0xC8AC   ,화,0xC8AD   ,확,0xC8AE
환,0xC8AF   ,활,0xC8B0   ,홧,0xC8B1   ,황,0xC8B2   ,홰,0xC8B3
홱,0xC8B4   ,홴,0xC8B5   ,횃,0xC8B6   ,횅,0xC8B7   ,회,0xC8B8
획,0xC8B9   ,횐,0xC8BA   ,횔,0xC8BB   ,횝,0xC8BC   ,횟,0xC8BD
횡,0xC8BE   ,효,0xC8BF   ,횬,0xC8C0   ,횰,0xC8C1   ,횹,0xC8C2
횻,0xC8C3   ,후,0xC8C4   ,훅,0xC8C5   ,훈,0xC8C6   ,훌,0xC8C7
훑,0xC8C8   ,훔,0xC8C9   ,훗,0xC8CA   ,훙,0xC8CB   ,훠,0xC8CC
훤,0xC8CD   ,훨,0xC8CE   ,훰,0xC8CF   ,훵,0xC8D0   ,훼,0xC8D1
훽,0xC8D2   ,휀,0xC8D3   ,휄,0xC8D4   ,휑,0xC8D5   ,휘,0xC8D6
휙,0xC8D7   ,휜,0xC8D8   ,휠,0xC8D9   ,휨,0xC8DA   ,휩,0xC8DB
휫,0xC8DC   ,휭,0xC8DD   ,휴,0xC8DE   ,휵,0xC8DF   ,휸,0xC8E0
휼,0xC8E1   ,흄,0xC8E2   ,흇,0xC8E3   ,흉,0xC8E4   ,흐,0xC8E5
흑,0xC8E6   ,흔,0xC8E7   ,흖,0xC8E8   ,흗,0xC8E9   ,흘,0xC8EA
흙,0xC8EB   ,흠,0xC8EC   ,흡,0xC8ED   ,흣,0xC8EE   ,흥,0xC8EF
흩,0xC8F0   ,희,0xC8F1   ,흰,0xC8F2   ,흴,0xC8F3   ,흼,0xC8F4
흽,0xC8F5   ,힁,0xC8F6   ,히,0xC8F7   ,힉,0xC8F8   ,힌,0xC8F9
힐,0xC8FA   ,힘,0xC8FB   ,힙,0xC8FC   ,힛,0xC8FD   ,힝,0xC8FE
